Year,Type,Acres
1994,"Wheat, spring",20505300
1995,"Wheat, spring",21801800
1996,"Wheat, spring",24669700
1997,"Wheat, spring",22280900
1998,"Wheat, spring",18615000
1999,"Wheat, spring",20483000
2000,"Wheat, spring",19771700
2001,"Wheat, spring",20572900
2002,"Wheat, spring",18421300
2003,"Wheat, spring",18172000
2004,"Wheat, spring",17585600
2005,"Wheat, spring",16871000
2006,"Wheat, spring",18742975
2007,"Wheat, spring",15124900
2008,"Wheat, spring",16293100
2009,"Wheat, spring",16990000
2010,"Wheat, spring",16441900
2011,"Wheat, spring",15733912
2012,"Wheat, spring",16868900
2013,"Wheat, spring",18997500
2014,"Wheat, spring",17563000
2015,"Wheat, spring",16977900
2016,"Wheat, spring",15869697
2017,"Wheat, spring",15801300
2018,"Wheat, spring",17310900
2019,"Wheat, spring",18781600
2020,"Wheat, spring",17926200
2021,"Wheat, spring",16021936
2022,"Wheat, spring",18036400
2023,"Wheat, spring",19497100
2024,"Wheat, spring",18942700
2025,"Wheat, spring",19420800
1980,"Wheat, winter remaining",
1981,"Wheat, winter remaining",
1982,"Wheat, winter remaining",
1983,"Wheat, winter remaining",
1984,"Wheat, winter remaining",
1985,"Wheat, winter remaining",
1986,"Wheat, winter remaining",
1987,"Wheat, winter remaining",
1988,"Wheat, winter remaining",
1989,"Wheat, winter remaining",
1990,"Wheat, winter remaining",
1991,"Wheat, winter remaining",591306
1992,"Wheat, winter remaining",830200
1993,"Wheat, winter remaining",610000
1994,"Wheat, winter remaining",833500
1995,"Wheat, winter remaining",869200
1996,"Wheat, winter remaining",968000
1997,"Wheat, winter remaining",622500
1998,"Wheat, winter remaining",956500
1999,"Wheat, winter remaining",937100
2000,"Wheat, winter remaining",996000
2001,"Wheat, winter remaining",1048800
2002,"Wheat, winter remaining",984200
2003,"Wheat, winter remaining",1493700
2004,"Wheat, winter remaining",1442200
2005,"Wheat, winter remaining",1211400
2006,"Wheat, winter remaining",1711039
2007,"Wheat, winter remaining",1661700
2008,"Wheat, winter remaining",2646600
2009,"Wheat, winter remaining",1906900
2010,"Wheat, winter remaining",1480900
2011,"Wheat, winter remaining",1738518
2012,"Wheat, winter remaining",2107600
2013,"Wheat, winter remaining",2047800
2014,"Wheat, winter remaining",1715300
2015,"Wheat, winter remaining",1312000
2016,"Wheat, winter remaining",1714988
2017,"Wheat, winter remaining",1384800
2018,"Wheat, winter remaining",1238200
2019,"Wheat, winter remaining",929200
2020,"Wheat, winter remaining",1367500
2021,"Wheat, winter remaining",1503745
2022,"Wheat, winter remaining",1212880
2023,"Wheat, winter remaining",1447600
2024,"Wheat, winter remaining",1340700
